date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-29,0.4086,47.0,0.4477,48.0,0.8117,72.0,0.75,64.0,0.6884,52.0,1.0013,98.0,0.6258,79.0,0.7754,77.0,0.7879,81.0,0.8005,85.0
2025-07-28,0.4019,45.0,0.4339,45.0,0.7885,69.0,0.7644,66.0,0.7403,62.0,1.0025,98.0,0.6261,79.0,0.792,82.0,0.7914,82.0,0.7909,82.0
2025-07-25,0.307,28.0,0.3593,26.0,1.3784,99.0,1.0648,95.0,0.7511,65.0,1.0009,98.0,0.6238,79.0,0.7556,71.0,0.7443,68.0,0.7329,64.0
2025-07-24,0.3193,30.0,0.3892,33.0,1.1321,96.0,0.971,90.0,0.81,74.0,1.0021,98.0,0.6254,79.0,0.768,74.0,0.789,81.0,0.81,88.0
2025-07-22,0.2371,15.0,0.3668,27.0,0.7391,61.0,1.0583,95.0,1.3776,100.0,1.0015,98.0,0.6263,79.0,0.7595,72.0,0.7622,73.0,0.7648,75.0
2025-07-21,0.2769,22.0,0.3503,24.0,0.7885,69.0,0.8256,76.0,0.8628,82.0,1.0019,98.0,0.6264,79.0,0.806,86.0,0.8065,87.0,0.807,87.0
2025-07-18,0.2818,23.0,0.3143,18.0,1.1211,95.0,0.9832,91.0,0.8452,80.0,1.002,98.0,0.6259,79.0,0.8242,90.0,0.8032,86.0,0.7822,80.0
2025-07-17,0.3132,28.0,0.3494,24.0,0.7735,66.0,0.7676,67.0,0.7618,67.0,1.0023,98.0,0.6264,79.0,0.9217,99.0,0.923,99.0,0.9242,99.0
2025-07-16,0.3113,28.0,0.352,24.0,0.7642,65.0,0.8848,83.0,1.0054,94.0,1.0024,98.0,0.6278,79.0,0.8062,86.0,0.7358,65.0,0.6653,45.0
2025-07-15,0.4128,47.0,0.3516,24.0,0.7628,65.0,0.7872,70.0,0.8116,74.0,1.0062,98.0,0.6291,80.0,0.7521,70.0,0.7619,73.0,0.7717,77.0
2025-07-14,0.4248,50.0,0.3705,28.0,0.8021,71.0,0.7703,67.0,0.7385,62.0,1.0081,98.0,0.6304,80.0,0.7937,83.0,0.7795,78.0,0.7653,75.0
2025-07-11,0.4054,46.0,0.44,46.0,0.7768,67.0,0.8162,74.0,0.8557,81.0,1.0097,98.0,0.632,80.0,0.8169,89.0,0.7866,81.0,0.7564,72.0
2025-07-09,0.3979,45.0,0.5411,68.0,0.7416,61.0,0.7782,68.0,0.8148,75.0,1.0146,98.0,0.6358,80.0,0.8187,89.0,0.7881,81.0,0.7575,73.0
2025-07-08,0.4134,48.0,0.5184,64.0,0.9879,89.0,0.8786,82.0,0.7692,68.0,1.0137,98.0,0.6361,81.0,0.8275,90.0,0.842,93.0,0.8566,94.0
2025-07-07,0.4134,48.0,0.5311,67.0,0.7711,66.0,0.7907,70.0,0.8103,74.0,1.0137,98.0,0.6367,81.0,0.8352,92.0,0.799,85.0,0.7627,74.0
2025-07-03,0.3018,27.0,0.4709,53.0,0.9522,86.0,0.8938,83.0,0.8354,78.0,1.0444,99.0,0.6511,82.0,0.82,89.0,0.7735,76.0,0.727,62.0
2025-07-02,0.3105,28.0,0.5079,62.0,0.7749,67.0,0.8552,80.0,0.9354,89.0,1.0441,99.0,0.6526,83.0,0.8106,87.0,0.8119,89.0,0.8132,88.0
2025-07-01,0.3043,27.0,0.5204,64.0,0.8906,82.0,0.8534,80.0,0.8161,75.0,1.0443,99.0,0.6509,82.0,0.8103,87.0,0.7936,83.0,0.7768,78.0
2025-06-30,0.309,28.0,0.4848,56.0,0.7545,63.0,0.7698,67.0,0.7852,71.0,1.0433,99.0,0.6515,82.0,0.8044,85.0,0.7932,83.0,0.7821,80.0
2025-06-27,0.3086,28.0,0.4295,44.0,0.7509,63.0,0.8384,78.0,0.9259,88.0,1.0434,99.0,0.6496,82.0,0.8027,85.0,0.7788,78.0,0.7549,72.0
2025-06-26,0.3126,28.0,0.4258,43.0,0.7723,66.0,0.7485,63.0,0.7246,59.0,1.044,99.0,0.65,82.0,0.7857,80.0,0.8037,86.0,0.8217,90.0
2025-06-25,0.3327,32.0,0.4297,44.0,0.7533,63.0,0.7404,62.0,0.7275,60.0,1.0431,99.0,0.6494,82.0,0.8925,98.0,0.7964,83.0,0.7003,54.0
2025-06-24,0.4805,60.0,0.4549,50.0,0.8529,78.0,0.7926,71.0,0.7322,61.0,1.0434,99.0,0.6496,82.0,0.7539,70.0,0.7756,77.0,0.7974,85.0
2025-06-23,0.4563,56.0,0.458,50.0,0.8643,79.0,0.9586,89.0,1.0529,95.0,1.0433,99.0,0.6512,82.0,0.8021,85.0,0.7836,80.0,0.765,75.0
2025-06-20,0.4368,52.0,0.4319,44.0,0.757,64.0,0.7526,64.0,0.7482,64.0,1.0428,99.0,0.6491,82.0,0.8166,88.0,0.7644,74.0,0.7122,57.0
2025-06-18,0.4982,63.0,0.4422,47.0,0.7646,65.0,0.7884,70.0,0.8122,74.0,1.044,99.0,0.6513,82.0,0.7953,83.0,0.7773,78.0,0.7593,73.0
2025-06-17,0.4956,62.0,0.4666,52.0,0.8175,73.0,0.8252,76.0,0.8329,78.0,1.0515,99.0,0.6571,83.0,0.7883,81.0,0.753,70.0,0.7178,59.0
2025-06-16,0.5137,65.0,0.5683,73.0,0.7873,69.0,0.771,67.0,0.7548,65.0,1.0525,99.0,0.658,83.0,0.8049,86.0,0.8166,89.0,0.8283,90.0
2025-06-13,0.4389,53.0,0.5985,77.0,0.7552,63.0,0.7707,67.0,0.7862,71.0,1.051,99.0,0.6579,83.0,0.8044,85.0,0.7819,79.0,0.7595,73.0
2025-06-12,0.4831,60.0,0.6044,78.0,0.894,82.0,0.8254,76.0,0.7568,66.0,1.0509,99.0,0.6591,83.0,0.801,85.0,0.7909,82.0,0.7808,79.0
2025-06-11,0.5526,70.0,0.6222,80.0,0.8243,74.0,0.795,71.0,0.7656,68.0,1.0528,99.0,0.6599,83.0,0.7522,70.0,0.7525,70.0,0.7527,71.0
2025-06-10,0.5185,66.0,0.6154,79.0,0.8339,75.0,0.7873,70.0,0.7407,63.0,1.0539,99.0,0.6591,83.0,0.8069,86.0,0.7889,81.0,0.7708,77.0
2025-06-09,0.499,63.0,0.6051,78.0,0.8191,73.0,0.871,82.0,0.9229,88.0,1.0528,99.0,0.6584,83.0,0.7854,80.0,0.7699,75.0,0.7544,71.0
2025-06-06,0.4993,63.0,0.595,77.0,0.7273,57.0,0.7604,65.0,0.7936,72.0,1.0528,99.0,0.6588,83.0,0.7751,77.0,0.7718,76.0,0.7685,76.0
2025-06-05,0.4473,54.0,0.5296,67.0,0.7666,65.0,0.7468,63.0,0.7271,60.0,1.053,99.0,0.6542,83.0,0.8175,89.0,0.7748,77.0,0.732,64.0
2025-06-04,0.3135,28.0,0.4901,57.0,0.6509,45.0,0.576,34.0,0.5012,20.0,1.0521,99.0,0.6543,83.0,0.7494,69.0,0.7604,72.0,0.7713,77.0
2025-06-03,0.3171,28.0,0.4589,51.0,0.6049,38.0,0.6456,44.0,0.6863,52.0,1.0496,99.0,0.6531,83.0,0.7656,74.0,0.7587,72.0,0.7518,71.0
2025-06-02,0.2368,15.0,0.43,44.0,0.6842,51.0,0.7018,53.0,0.7193,57.0,1.0478,99.0,0.6523,82.0,0.9262,99.0,0.905,99.0,0.8838,97.0
2025-05-30,0.4527,55.0,0.4078,38.0,0.6757,49.0,0.6655,47.0,0.6553,47.0,1.0477,99.0,0.6506,82.0,0.7805,78.0,0.7732,76.0,0.7658,75.0
2025-05-29,0.4561,56.0,0.3976,35.0,0.6614,47.0,0.6614,46.0,0.6615,48.0,1.0482,99.0,0.6509,82.0,0.795,83.0,0.7856,80.0,0.7761,78.0
2025-05-28,0.4656,57.0,0.3795,31.0,0.8206,74.0,0.744,62.0,0.6673,49.0,1.0482,99.0,0.6521,82.0,0.8048,86.0,0.8262,91.0,0.8476,93.0
2025-05-27,0.4438,53.0,0.347,23.0,0.7314,59.0,0.711,56.0,0.6907,53.0,1.0491,99.0,0.6515,82.0,0.852,94.0,0.8008,85.0,0.7495,70.0
2025-05-23,0.3487,35.0,0.3376,21.0,0.6569,46.0,0.6962,52.0,0.7355,62.0,1.0497,99.0,0.6526,83.0,0.8074,86.0,0.8532,94.0,0.899,98.0
2025-05-22,0.3553,37.0,0.3565,25.0,0.8798,81.0,0.7552,64.0,0.6307,43.0,1.0497,99.0,0.6526,83.0,0.8321,91.0,0.799,85.0,0.766,75.0
2025-05-21,0.3415,34.0,0.3797,31.0,0.6398,44.0,0.6298,41.0,0.6198,41.0,1.05,99.0,0.6535,83.0,0.8149,88.0,0.7991,85.0,0.7833,80.0
2025-05-20,0.4353,52.0,0.3939,34.0,0.6733,49.0,0.6744,48.0,0.6754,50.0,1.0616,99.0,0.6676,84.0,0.8208,89.0,0.7997,85.0,0.7786,79.0
2025-05-19,0.5969,75.0,0.5472,70.0,0.6804,50.0,0.6802,49.0,0.6799,51.0,1.0659,99.0,0.6709,85.0,0.7909,82.0,0.773,76.0,0.755,72.0
2025-05-16,0.64,79.0,0.5763,74.0,0.6705,48.0,0.6669,47.0,0.6633,48.0,1.0748,99.0,0.675,85.0,0.8068,86.0,0.7914,82.0,0.776,78.0
2025-05-15,0.6518,80.0,0.5921,76.0,0.7205,57.0,0.6966,52.0,0.6727,50.0,1.0761,99.0,0.6762,85.0,0.7927,82.0,0.7959,83.0,0.7991,85.0
2025-05-14,0.921,93.0,0.686,85.0,0.8454,77.0,0.7599,65.0,0.6744,50.0,1.0766,99.0,0.677,85.0,0.7895,81.0,0.7688,75.0,0.7481,69.0
2025-05-13,0.9209,93.0,0.706,87.0,0.8478,77.0,0.763,66.0,0.6781,51.0,1.0766,99.0,0.6765,85.0,0.8281,90.0,0.7942,83.0,0.7603,73.0
2025-05-12,0.9497,94.0,0.7321,88.0,0.7997,70.0,0.803,73.0,0.8062,74.0,1.0767,99.0,0.6769,85.0,0.7955,83.0,0.7852,80.0,0.7749,78.0
2025-05-09,0.847,91.0,0.7227,88.0,1.1275,96.0,0.8991,84.0,0.6707,49.0,1.0715,99.0,0.6756,85.0,0.7684,74.0,0.8032,86.0,0.8379,92.0
2025-05-08,0.7933,89.0,0.6267,80.0,0.7951,70.0,0.8606,81.0,0.926,88.0,1.0688,99.0,0.67,85.0,0.8297,90.0,0.8027,86.0,0.7757,78.0
2025-05-07,0.8263,91.0,0.6662,84.0,0.8621,79.0,0.8633,81.0,0.8645,82.0,1.0669,99.0,0.6738,85.0,0.8212,89.0,0.7867,81.0,0.7521,71.0
2025-05-06,0.7937,89.0,0.6571,83.0,1.9512,100.0,1.4372,100.0,0.9232,88.0,1.0662,99.0,0.6728,85.0,0.8408,92.0,0.9354,100.0,1.0301,100.0
2025-05-05,0.5067,64.0,0.5751,74.0,1.5826,100.0,1.3611,99.0,1.1395,97.0,1.0587,99.0,0.6678,84.0,0.7525,70.0,0.799,85.0,0.8456,92.0
2025-05-02,0.6292,78.0,0.58,74.0,1.4297,99.0,1.4544,100.0,1.479,100.0,1.06,99.0,0.6662,84.0,0.8453,93.0,0.7958,83.0,0.7464,69.0
2025-05-01,0.678,82.0,0.5576,71.0,1.5384,100.0,1.7468,100.0,1.9551,100.0,1.0588,99.0,0.6641,84.0,0.8575,94.0,0.8084,88.0,0.7593,73.0
2025-04-30,0.6851,82.0,0.5601,72.0,1.4913,100.0,1.4257,100.0,1.3601,99.0,1.0584,99.0,0.6639,84.0,0.8455,93.0,0.8904,98.0,0.9354,99.0
2025-04-29,0.6615,81.0,0.5607,72.0,1.556,100.0,1.3977,100.0,1.2394,98.0,1.0575,99.0,0.663,84.0,0.8267,90.0,0.885,97.0,0.9432,99.0
2025-04-28,0.6277,78.0,0.4966,59.0,1.3807,99.0,1.2992,99.0,1.2178,98.0,1.0542,99.0,0.6601,83.0,0.8337,91.0,0.8388,92.0,0.8439,92.0
2025-04-25,0.7102,84.0,0.5156,63.0,1.5782,100.0,1.5618,100.0,1.5453,100.0,1.0558,99.0,0.6601,83.0,0.8836,97.0,0.884,97.0,0.8844,97.0
2025-04-24,0.6797,82.0,0.5058,61.0,1.1263,96.0,1.1453,97.0,1.1643,98.0,1.0557,99.0,0.6594,83.0,0.805,86.0,0.8167,89.0,0.8283,90.0
2025-04-23,0.5835,74.0,0.5211,65.0,1.131,96.0,1.1088,96.0,1.0866,96.0,1.0506,99.0,0.6586,83.0,0.8406,92.0,0.8205,90.0,0.8004,85.0
2025-04-22,0.4691,57.0,0.5169,64.0,1.0844,94.0,1.082,96.0,1.0796,96.0,1.0462,99.0,0.6589,83.0,0.7941,83.0,0.8089,88.0,0.8236,90.0
2025-04-21,0.6114,76.0,0.5545,71.0,1.247,98.0,1.1746,98.0,1.1021,97.0,1.0498,99.0,0.6615,84.0,0.8093,87.0,0.8155,89.0,0.8217,90.0
2025-04-17,1.2666,98.0,0.8704,95.0,1.1641,97.0,1.0665,95.0,0.9689,91.0,1.0498,99.0,0.6607,83.0,0.7473,68.0,0.7966,84.0,0.8458,92.0
2025-04-16,1.3339,98.0,0.9754,98.0,1.0217,91.0,1.0952,96.0,1.1686,98.0,1.0495,99.0,0.6603,83.0,0.7749,77.0,0.8219,90.0,0.8689,95.0
2025-04-15,1.315,98.0,1.0666,99.0,1.0294,92.0,1.0466,94.0,1.0637,96.0,1.0484,99.0,0.6583,83.0,0.8575,94.0,0.8507,93.0,0.8439,92.0
2025-04-14,1.3556,99.0,1.1073,99.0,1.1013,95.0,1.0334,94.0,0.9655,91.0,1.0471,99.0,0.6576,83.0,0.8581,94.0,0.8448,93.0,0.8316,91.0
2025-04-11,1.3901,99.0,1.0806,99.0,1.227,98.0,1.1374,97.0,1.0477,95.0,1.0474,99.0,0.655,83.0,0.8391,92.0,0.9,98.0,0.961,100.0
2025-04-10,1.3961,99.0,1.0748,99.0,1.301,98.0,,,0.9792,92.0,1.051,99.0,0.6555,83.0,0.8463,93.0,,,0.8775,96.0
2025-04-09,1.3232,98.0,1.0753,99.0,0.9726,87.0,,,1.5755,100.0,1.0454,99.0,0.6529,83.0,0.821,89.0,,,1.0046,100.0
2025-04-08,0.5325,68.0,0.837,94.0,1.3221,99.0,,,1.068,96.0,1.0138,98.0,0.6324,80.0,0.6457,41.0,,,0.7962,84.0
2025-04-07,0.5107,64.0,0.7344,88.0,1.5749,100.0,,,1.2682,99.0,1.0127,98.0,0.6242,79.0,0.8918,98.0,,,1.083,100.0
2025-04-04,0.5142,65.0,0.5639,72.0,1.182,97.0,,,1.5531,100.0,1.0128,98.0,0.6141,78.0,0.9689,100.0,,,0.9468,100.0
2025-04-03,0.4675,57.0,0.4841,56.0,0.8941,82.0,,,0.9844,92.0,1.0107,98.0,0.6101,78.0,0.8569,94.0,,,1.1288,100.0
2025-04-02,0.385,42.0,0.4918,57.0,0.7117,56.0,,,0.6184,41.0,1.0085,98.0,0.6103,78.0,0.8051,86.0,,,0.8158,89.0
2025-04-01,0.4871,61.0,0.4833,56.0,0.8669,80.0,,,0.923,88.0,1.0102,98.0,0.6107,78.0,0.6394,40.0,,,0.8584,94.0
2025-03-31,0.4441,54.0,0.4299,44.0,0.9702,87.0,,,0.9956,93.0,1.0099,98.0,0.6082,77.0,0.7431,67.0,,,0.7747,78.0
2025-03-28,0.4346,52.0,0.4478,48.0,0.8845,81.0,,,0.8194,76.0,1.0091,98.0,0.6077,77.0,0.7815,79.0,,,0.7859,81.0
2025-03-27,0.3796,41.0,0.3964,35.0,0.9208,84.0,,,0.7838,70.0,1.008,98.0,0.6065,77.0,0.7953,83.0,,,0.7876,81.0
2025-03-26,0.4633,57.0,0.4172,40.0,0.9536,86.0,,,1.0539,95.0,1.008,98.0,0.6063,77.0,0.7862,80.0,,,0.8286,90.0
2025-03-25,0.4172,48.0,0.414,40.0,0.7537,63.0,,,0.9,86.0,1.0079,98.0,0.6067,77.0,0.7593,72.0,,,0.7867,81.0
2025-03-24,0.4405,53.0,0.4239,42.0,0.6699,48.0,,,0.8439,80.0,1.008,98.0,0.6062,77.0,0.7227,62.0,,,0.7911,82.0
2025-03-21,0.5302,67.0,0.5122,63.0,0.6588,46.0,,,0.7887,71.0,1.0063,98.0,0.606,77.0,0.7904,82.0,,,0.8073,87.0
2025-03-20,0.5498,70.0,0.51,62.0,0.7285,59.0,,,0.6823,51.0,1.0064,98.0,0.6062,77.0,0.7983,84.0,,,0.7803,79.0
2025-03-19,0.5528,70.0,0.5042,61.0,0.81,72.0,,,0.7981,73.0,1.0071,98.0,0.6067,77.0,0.7658,74.0,,,0.7367,65.0
2025-03-18,0.6587,81.0,0.5697,73.0,1.1327,96.0,,,0.8413,79.0,1.0069,98.0,0.6073,77.0,0.8121,88.0,,,0.7877,81.0
2025-03-17,0.6156,77.0,0.5747,74.0,1.157,96.0,,,0.8424,79.0,1.0056,98.0,0.6081,77.0,0.7917,82.0,,,0.7338,64.0
2025-03-14,0.5814,73.0,0.5769,74.0,1.159,96.0,,,0.7942,72.0,1.0049,98.0,0.6071,77.0,0.8083,86.0,,,0.7962,84.0
2025-03-13,0.809,90.0,0.6634,83.0,0.8055,71.0,,,0.7706,68.0,1.0049,98.0,0.6062,77.0,0.8117,87.0,,,0.8094,87.0
2025-03-12,0.7823,88.0,0.6249,80.0,0.8705,80.0,,,0.7509,65.0,1.0027,98.0,0.6019,76.0,0.8464,93.0,,,0.7572,72.0
2025-03-11,0.8144,90.0,0.7411,89.0,1.3372,99.0,,,0.8276,77.0,1.002,98.0,0.6016,76.0,0.8186,89.0,,,0.7754,78.0
2025-03-10,0.9335,94.0,0.9073,96.0,0.854,78.0,,,0.831,78.0,1.0019,98.0,0.6013,76.0,0.8114,87.0,,,0.839,92.0
2025-03-07,3.4883,100.0,1.1491,99.0,1.0342,92.0,,,0.7671,68.0,1.011,98.0,0.6039,76.0,0.6147,37.0,,,0.7482,69.0
2025-03-06,3.5072,100.0,1.1465,99.0,0.9555,86.0,,,0.8071,74.0,1.0108,98.0,0.6028,76.0,0.7727,76.0,,,0.7617,74.0
2025-03-05,3.5279,100.0,1.1465,99.0,0.8407,76.0,,,0.7907,72.0,1.0106,98.0,0.6019,76.0,0.7995,84.0,,,0.7738,77.0
2025-03-04,3.3813,100.0,1.2068,100.0,0.9073,83.0,,,0.8489,81.0,1.0033,98.0,0.5964,75.0,0.7158,60.0,,,0.7749,78.0
2025-03-03,3.3772,100.0,1.2183,100.0,0.4855,18.0,,,0.6319,43.0,1.0035,98.0,0.5974,75.0,0.9331,99.0,,,0.7412,67.0
2025-02-28,3.4047,100.0,1.1577,100.0,0.7791,67.0,,,0.7488,64.0,1.001,98.0,0.5897,74.0,0.8216,89.0,,,0.763,74.0
2025-02-27,3.2608,100.0,1.0542,99.0,0.759,64.0,,,0.5914,37.0,0.9991,98.0,0.5755,72.0,0.7848,80.0,,,0.7769,78.0
2025-02-26,0.6767,82.0,0.8427,94.0,1.1339,96.0,,,1.0313,95.0,0.5958,67.0,0.5474,65.0,0.8238,90.0,,,0.7801,79.0
2025-02-25,0.7018,84.0,0.8375,94.0,1.0857,94.0,,,0.9599,91.0,0.5962,67.0,0.5465,65.0,0.8447,93.0,,,0.7524,71.0
2025-02-24,0.7832,89.0,0.865,95.0,0.9777,88.0,,,1.0225,94.0,0.5964,67.0,0.5454,65.0,0.8197,89.0,,,0.7712,77.0
2025-02-21,0.7812,88.0,0.721,87.0,0.9976,90.0,,,0.892,85.0,0.5991,68.0,0.5321,63.0,0.8069,86.0,,,0.7803,79.0
2025-02-20,0.7736,88.0,0.6728,84.0,0.9418,85.0,,,0.9505,90.0,0.5945,67.0,0.5299,63.0,0.8118,87.0,,,0.7864,81.0
2025-02-19,0.8113,90.0,0.6578,83.0,1.1101,95.0,,,0.9265,88.0,0.5944,67.0,0.5291,63.0,0.8072,86.0,,,0.7581,73.0
2025-02-18,0.7508,86.0,0.6202,79.0,0.9301,84.0,,,0.9001,86.0,0.5863,65.0,0.5262,62.0,0.8305,91.0,,,0.816,89.0
2025-02-14,0.4557,56.0,0.5588,71.0,0.9297,84.0,,,0.6844,52.0,0.5648,60.0,0.5199,60.0,0.7451,68.0,,,0.7416,67.0
2025-02-13,0.4359,52.0,0.5521,70.0,1.184,97.0,,,0.8436,80.0,0.5646,60.0,0.5194,60.0,0.782,79.0,,,0.748,69.0
2025-02-12,0.3923,44.0,0.4974,60.0,0.9092,83.0,,,0.8373,79.0,0.5724,62.0,0.5216,61.0,0.7796,78.0,,,0.7676,76.0
2025-02-11,0.3734,40.0,0.4587,51.0,1.0495,93.0,,,0.818,76.0,0.6259,74.0,0.5529,66.0,0.8162,88.0,,,0.7458,68.0
2025-02-10,0.3894,43.0,0.4848,56.0,0.8236,74.0,,,0.7585,66.0,0.6257,74.0,0.5533,66.0,0.764,73.0,,,0.7503,70.0
2025-02-07,0.3955,44.0,0.491,57.0,0.9204,84.0,,,0.829,77.0,0.6255,74.0,0.5532,66.0,0.7876,81.0,,,0.7672,75.0
2025-02-06,0.4564,56.0,0.4999,60.0,0.9732,88.0,,,0.6219,42.0,0.6263,74.0,0.5523,66.0,0.75,69.0,,,0.7382,66.0
2025-02-05,0.3931,44.0,0.4041,37.0,0.8647,79.0,,,0.79,72.0,0.6225,73.0,0.5485,66.0,0.7853,80.0,,,0.7449,68.0
2025-02-04,0.4488,54.0,0.4337,45.0,0.8826,81.0,,,0.7088,56.0,0.623,74.0,0.5512,66.0,0.7453,68.0,,,0.7316,63.0
2025-02-03,0.3941,44.0,0.4583,50.0,0.8271,74.0,,,0.6862,52.0,0.6227,74.0,0.5517,66.0,0.7405,66.0,,,0.7311,63.0
2025-01-31,0.4444,54.0,0.4556,50.0,0.8576,78.0,,,0.677,50.0,0.6268,74.0,0.561,69.0,0.77,75.0,,,0.7152,57.0
2025-01-30,0.4584,56.0,0.4423,47.0,0.7043,54.0,,,0.7336,61.0,0.6295,75.0,0.5599,68.0,0.755,70.0,,,0.7323,64.0
2025-01-29,0.4358,52.0,0.451,49.0,0.8392,76.0,,,0.77,68.0,0.6298,75.0,0.5616,69.0,0.7326,64.0,,,0.7316,63.0
2025-01-28,0.3979,45.0,0.4431,47.0,0.8156,73.0,,,0.786,71.0,0.6275,74.0,0.5608,69.0,0.7624,73.0,,,0.6976,53.0
2025-01-27,0.3611,38.0,0.4673,52.0,0.8072,72.0,,,0.7554,66.0,0.6282,74.0,0.561,69.0,0.7511,69.0,,,0.7088,57.0
2025-01-24,0.5186,66.0,0.4816,56.0,0.6484,45.0,,,0.7011,55.0,0.6258,74.0,0.5601,69.0,0.7465,68.0,,,0.7269,62.0
2025-01-23,0.5642,72.0,0.4863,57.0,0.7924,69.0,,,0.7122,57.0,0.6255,74.0,0.5588,68.0,0.7332,65.0,,,0.7698,76.0
2025-01-22,0.6421,79.0,0.5135,63.0,0.6916,52.0,,,0.6617,48.0,0.6254,74.0,0.5602,69.0,0.7567,71.0,,,0.769,76.0
2025-01-21,0.6279,78.0,0.506,61.0,0.7001,54.0,,,0.6933,53.0,0.6248,74.0,0.5602,69.0,0.7493,69.0,,,0.7177,59.0
2025-01-17,0.7612,87.0,0.5662,72.0,0.8358,76.0,,,0.6861,52.0,0.6266,74.0,0.5609,69.0,0.7406,67.0,,,0.7229,61.0
2025-01-16,0.7603,87.0,0.5574,71.0,1.0086,91.0,,,0.7022,55.0,0.6251,74.0,0.5601,69.0,0.7393,66.0,,,0.7192,60.0
2025-01-15,0.7668,87.0,0.5672,73.0,0.6435,44.0,,,0.6759,50.0,0.624,74.0,0.5588,68.0,0.7592,72.0,,,0.7721,77.0
2025-01-14,1.2091,97.0,0.8109,93.0,0.7869,69.0,,,0.7312,61.0,0.6201,73.0,0.5571,68.0,0.7673,74.0,,,0.7756,78.0
2025-01-13,1.2633,98.0,0.8009,92.0,0.7348,60.0,,,0.8001,73.0,0.6197,73.0,0.5557,67.0,0.7975,84.0,,,0.7611,74.0
2025-01-10,1.2098,97.0,0.7894,91.0,0.8141,73.0,,,0.7651,67.0,0.6162,72.0,0.5543,67.0,0.7986,84.0,,,0.7382,66.0
2025-01-08,1.1771,97.0,0.8243,93.0,0.7117,56.0,,,0.7268,60.0,0.6153,72.0,0.5541,67.0,0.7907,82.0,,,0.7585,73.0
2025-01-07,0.999,95.0,0.7779,91.0,0.6782,50.0,,,0.7192,57.0,0.6037,69.0,0.5501,66.0,0.7778,77.0,,,0.7612,74.0
2025-01-06,0.9787,94.0,0.7842,91.0,0.6858,51.0,,,0.6983,54.0,0.6077,70.0,0.5504,66.0,0.7776,77.0,,,0.7633,74.0
2025-01-03,0.9777,94.0,0.7568,90.0,0.789,69.0,,,0.7023,55.0,0.608,70.0,0.548,66.0,0.7304,64.0,,,0.7493,70.0
2025-01-02,0.4948,62.0,0.4516,49.0,0.6477,45.0,,,0.6438,45.0,0.5691,61.0,0.528,62.0,0.6938,53.0,,,0.6805,48.0
2024-12-31,0.2917,25.0,0.4732,54.0,0.7677,65.0,,,0.5997,38.0,0.561,59.0,0.5278,62.0,0.726,62.0,,,0.7202,60.0
2024-12-30,0.2651,20.0,0.4787,55.0,0.6967,53.0,,,0.8151,75.0,0.5606,59.0,0.5273,62.0,0.7702,75.0,,,0.7126,57.0
2024-12-27,0.3965,44.0,0.4798,55.0,0.7057,55.0,,,0.6149,40.0,0.5612,59.0,0.524,61.0,0.7379,66.0,,,0.7343,65.0
2024-12-26,0.6018,75.0,0.5987,77.0,0.7442,62.0,,,0.743,63.0,0.5614,59.0,0.5249,62.0,0.7431,67.0,,,0.7157,59.0
2024-12-24,0.6038,76.0,0.6052,78.0,0.6747,49.0,,,0.5459,28.0,0.5612,59.0,0.5241,61.0,0.7416,67.0,,,0.6968,53.0
2024-12-23,0.6372,79.0,0.6176,79.0,0.7546,63.0,,,0.7808,70.0,0.5611,59.0,0.5242,61.0,0.7437,67.0,,,0.727,62.0
2024-12-20,0.7436,86.0,0.6532,83.0,0.5931,36.0,,,0.7839,70.0,0.5607,59.0,0.5241,61.0,0.7769,77.0,,,0.7672,75.0
2024-12-19,0.7707,88.0,0.6431,82.0,0.8592,78.0,,,0.933,89.0,0.5614,59.0,0.5239,61.0,0.8013,85.0,,,0.8543,93.0
2024-12-18,0.7793,88.0,0.6461,82.0,1.1332,96.0,,,0.8404,79.0,0.5638,60.0,0.5241,61.0,0.7552,70.0,,,0.7498,70.0
2024-12-17,0.6965,83.0,0.6006,77.0,1.097,94.0,,,1.0301,94.0,0.5756,63.0,0.5251,62.0,0.7658,74.0,,,0.7805,79.0
2024-12-16,0.5219,66.0,0.5079,62.0,0.9813,88.0,,,0.972,91.0,0.5672,61.0,0.5194,60.0,0.7506,69.0,,,0.8028,86.0
2024-12-13,0.5103,64.0,0.4856,57.0,0.697,53.0,,,0.7745,69.0,0.5672,61.0,0.5192,60.0,0.772,75.0,,,0.7944,84.0
2024-12-12,0.4886,61.0,0.5248,65.0,0.7326,59.0,,,0.9166,87.0,0.5664,61.0,0.5193,60.0,0.7871,81.0,,,0.8242,90.0
2024-12-11,0.258,19.0,0.4749,54.0,0.8686,80.0,,,0.9025,86.0,0.5634,60.0,0.5169,59.0,0.781,79.0,,,0.7847,80.0
2024-12-10,0.2023,10.0,0.4579,50.0,0.7599,64.0,,,0.9228,88.0,0.5636,60.0,0.5156,59.0,0.7352,65.0,,,0.8038,86.0
2024-12-09,0.1424,4.0,0.426,43.0,0.8351,76.0,,,0.8283,77.0,0.5626,60.0,0.5145,57.0,0.7784,78.0,,,0.812,88.0
